DATE				SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat
DD-HH				DAWS	-139.11	64.05		FSIM	-121.23	61.76		FSMI	-111.95	60.02		GILL	-94.64	56.38		MCMU	-111.21	56.66		RANK	-92.11	62.82		TALO	-93.55	69.54		WGRY	-120.03	51.88		BRD	-99.97	49.87		CBB	-105.03	69.12		FCC	-94.09	58.76		IQA	-68.52	63.75		MEA	-113.35	54.62		OTT	-75.55	45.4		RES	-94.89	74.69		STJ	-52.68	47.6		VIC	-123.42	48.52		

				max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			
02-12				29.32				32.38				23.66				29.19				14.76				50.94				34.7				6.97				6.88				34.02				18.38				48.56				8.71				6.59				19.16				12.76				4.17		
02-13				55.02				43.87				38.87				71.58				27.29				100.49				95.15				16.99				14.89				61.3				41.82				193.17				20.04				22.32				60.57				20.54				11.26		
02-14				26.82				26.61				22.19				26.18				16.28				81.78				65.05				8.08				10.55				63.26				17.47				45.39				10.37				10.3				34.8				15.63				4.6		
02-15				19.94				20.62				18.24				24.08				15.8				33.71				56.47				11.07				11.11				46.56				15.86				41.71				11.76				8.76				50.81				13.07				7.67		
02-16				24.76				27.25				26.15				26.27				18.16				55.38				85.3				15.44				9.95				62.76				19.45				52.16				14.89				7.92				56.24				13.7				12.61		
02-17				17.84				23.37				21.5				21.93				15.4				35.84				76.64				12.94				9.89				55.68				13.57				48.38				12.6				11.9				52.63				11.61				9.36		
02-18				58.78				58.37				54.27				57.88				31.71				101.5				163.03				23.23				18.72				149.76				49.04				76.64				25.26				12.98				102.93				16.91				16.44		
02-19				56.63				53.18				37.72				51.13				25.09				58.41				179.94				17.54				14.05				143.38				31.02				122.76				20.7				13.89				108.55				13.77				13.72		
02-20				36.75				37.16				30.75				49.37				24.09				68.21				105.08				21.09				13.84				95.9				27.03				86.14				23.35				9.55				77.61				14.25				15.64		
02-21				34.61				27.56				21.13				27.37				16.08				44.44				67.91				14.04				7.56				83.56				20.26				55.32				13.14				8.2				44.4				44.4				12.31		
02-22				29.3				26.14				23.29				27.57				15.65				60.76				74.61				10.55				7.59				91.64				21.8				32.99				10.53				4.56				45.9				45.9				7.01		
02-23				35.3				27.81				18.19				25.63				12.67				62.84				41.65				41.65				8.34				59.51				18.4				28.08				10.0				6.33				52.49				4.6				9.12		
02-24				30.7				28.03				20.28				22.59				14.16				31.34				40.38				40.38				6.98				62.64				18.48				33.96				11.31				5.49				36.52				4.55				8.64		
03-01				18.01				19.15				10.3				13.68				8.55				18.7				18.7				5.93				4.65				24.73				8.57				28.99				5.67				4.51				16.7				6.86				3.48		
03-02				20.82				18.81				10.26				11.42				8.17				16.36				16.36				5.85				4.37				17.15				9.02				33.75				5.92				4.52				14.05				6.5				4.28		
03-03				30.95				27.38				15.44				22.69				13.14				27.76				20.39				10.22				6.66				21.98				16.38				169.82				10.15				6.61				25.51				7.06				5.61		
03-04				26.97				27.59				26.79				48.14				16.45				64.42				38.56				10.99				10.53				38.78				47.12				361.72				13.68				11.04				25.23				10.66				6.68		
03-05				23.68				16.75				16.03				25.05				10.69				58.53				28.7				6.8				6.76				18.51				84.09				172.38				8.33				6.08				17.9				6.33				4.41		
03-06				20.47				34.93				58.3				53.68				30.8				95.72				22.67				15.36				13.48				34.02				127.35				54.19				20.9				8.38				16.44				6.4				9.43		
03-07				24.56				38.25				49.53				31.37				15.27				26.19				20.82				7.14				8.46				25.77				38.7				32.52				9.67				5.62				10.52				5.36				4.73		
03-08				80.13				145.2				91.87				39.17				31.19				61.04				33.12				14.03				11.01				42.37				60.2				56.62				20.3				6.34				26.06				6.03				9.75		
03-09				70.67				149.54				110.11				41.3				35.97				52.36				27.53				19.94				14.18				40.31				68.04				51.56				24.94				8.15				30.15				5.07				14.94		
03-10				29.72				25.87				15.49				15.48				8.16				28.85				15.61				6.28				5.76				14.42				13.27				27.91				6.49				2.73				12.65				3.15				5.21		
03-11				38.4				66.65				45.87				59.26				25.9				103.29				42.58				16.94				18.44				27.97				50.23				100.11				22.46				11.29				47.05				15.11				13.16		
03-12				18.43				21.18				18.2				15.29				10.63				43.48				41.77				6.93				6.84				24.99				17.61				32.75				8.05				5.7				26.6				11.12				5.89		
03-13				10.9				14.2				13.01				12.26				8.0				21.73				48.84				5.46				4.61				32.55				11.03				22.78				6.48				8.49				26.66				12.77				4.37		
03-14				18.75				17.64				15.98				17.9				11.01				24.13				59.94				8.49				8.89				45.56				12.79				31.55				9.38				13.95				41.1				15.65				6.66		
03-15				20.71				21.23				15.69				27.8				12.1				27.81				88.61				11.01				10.24				54.68				16.66				41.87				10.23				11.95				63.37				17.09				8.49		
03-16				26.83				23.53				17.56				27.96				14.53				33.07				75.12				10.87				11.83				62.72				19.86				32.85				12.21				17.38				65.38				13.67				8.89		
03-17				39.34				37.61				37.61				33.34				19.84				37.82				109.99				17.2				13.65				104.42				24.83				44.24				17.53				16.76				94.28				15.24				14.73		
03-18				41.33				41.19				41.19				36.47				23.57				45.67				122.66				18.67				18.14				101.54				27.72				73.63				18.47				15.58				70.18				20.57				14.4		
03-19				43.57				43.18				38.74				32.85				29.33				42.58				109.07				21.79				19.66				85.53				30.04				68.6				24.27				12.43				115.94				115.94				17.46		
03-20				55.39				45.0				23.69				37.89				18.2				42.22				103.63				15.21				16.42				88.35				23.77				90.53				14.89				10.81				71.98				11.98				12.22		
03-21				47.01				49.3				48.97				78.15				39.19				82.01				114.41				29.62				30.78				116.94				57.55				70.99				36.72				28.48				161.15				21.22				22.12		
03-22				64.19				55.73				54.83				105.41				46.47				92.49				170.72				33.6				34.91				199.29				67.01				99.95				41.74				25.35				183.62				17.26				23.49		
03-23				71.94				65.85				57.74				90.64				48.5				81.77				118.06				38.04				33.26				140.12				58.32				73.82				45.41				22.81				81.94				22.49				22.76		
03-24				66.37				69.2				62.59				78.46				48.73				65.2				100.06				40.31				29.63				117.33				45.57				73.69				47.03				18.4				88.59				12.04				26.66		
04-01				34.23				25.64				17.31				21.62				14.42				30.73				32.07				13.23				8.22				36.04				20.03				62.66				12.95				6.02				38.47				8.39				9.1		
04-02				45.74				33.26				21.99				22.79				17.42				29.41				26.9				17.89				9.52				41.59				21.13				49.84				15.05				7.19				34.52				9.42				9.71		
04-03				48.26				27.22				20.27				20.27				14.33				20.27				24.52				16.42				9.24				38.58				18.84				41.32				13.54				7.36				32.22				7.49				10.41		
04-04				18.15				19.58				24.12				24.12				11.54				31.22				20.15				7.19				9.22				19.52				68.44				97.6				8.16				7.89				20.63				6.64				5.5		
04-05				16.33				12.28				12.28				22.46				8.45				24.69				20.15				4.8				4.8				16.61				36.29				45.7				5.28				4.99				20.9				4.96				3.3		
04-06				19.27				22.22				22.22				22.29				9.91				39.85				21.91				6.21				6.43				19.4				59.65				14.18				6.66				4.58				15.4				4.83				4.45		
04-07				16.53				20.92				28.01				24.61				9.98				48.14				14.4				5.88				5.1				16.2				42.17				24.53				6.53				4.61				16.8				5.29				3.36		
04-08				19.5				34.97				34.97				27.32				14.24				105.92				31.19				8.21				8.75				48.51				34.22				44.18				9.55				6.52				17.68				6.99				5.38		
04-09				11.64				19.05				19.05				18.81				9.2				51.03				16.88				4.75				4.08				20.89				26.31				41.97				5.83				3.49				9.9				4.7				3.4		
04-10				6.02				8.93				7.32				9.4				4.42				26.89				19.34				2.92				3.07				14.55				11.31				28.78				3.51				2.61				10.22				3.16				2.49		
04-11				10.37				18.03				10.5				11.61				6.19				22.51				21.22				4.54				3.88				14.11				8.09				19.9				4.93				3.07				17.84				6.91				3.13		
04-12				13.06				14.74				11.8				15.62				7.22				40.11				28.36				6.07				5.41				24.02				11.37				32.76				6.55				6.52				24.1				11.18				3.56		
04-13				18.76				17.67				12.87				19.49				8.38				31.54				40.57				6.38				7.56				23.09				11.44				27.2				7.49				9.05				26.26				8.94				4.51		
04-14				75.56				57.11				31.97				25.21				19.53				52.25				73.54				12.89				11.66				68.26				23.38				42.96				15.24				13.22				66.99				15.91				8.56		
04-15				97.11				73.91				41.14				28.18				20.57				61.45				81.31				18.8				10.16				99.19				23.75				31.82				18.01				9.0				40.96				13.31				15.9		
